id,name,category,price_tier,neighborhood,opening_hours,average_rating,good_for_kids
1,Lakeside Bistro,Moroccan,Cheap,Midtown,10:00-18:00,2.25,1
2,The Spicy Spoon,Indian,Cheap,East Village,07:00-15:00,1.94,1
3,Riverside Cafe,Indian,Medium,Lower East Side,07:00-17:00,4.42,0
4,The Spicy Spoon,Greek,Cheap,Harlem,06:00-14:00,4.83,1
5,Seaside Grill & Bar,Mediterranean,Medium,Williamsburg,18:00-02:00,4.64,1
6,Casa Verde Taqueria,French,Expensive,Midtown,06:00-14:00,1.06,1
7,Oceanfront Oyster Bar,Argentinian,Medium,Upper East Side,11:00-19:00,1.02,0
8,Casa del Sol,Moroccan,Cheap,Midtown,11:00-19:00,1.24,1
9,Oceanfront Oyster Bar,Indian,Cheap,Financial District,16:00-00:00,2.93,0
10,Mango Madness Tropical,Russian,Medium,East Village,10:00-18:00,2.34,0
11,Red Pepper Asian Fusion,American,Expensive,Tribeca,10:00-18:00,3.51,0
12,Fusion Flavors Kitchen,American,Cheap,Hell's Kitchen,08:00-20:00,1.15,0
13,Green Leaf Salad Bar,Moroccan,Medium,Harlem,12:00-00:00,4.17,0
14,Driftwood Tavern,Turkish,Medium,Lower East Side,14:00-22:00,1.71,1
15,Oceanview Grill,Greek,Expensive,Park Slope,08:00-16:00,4.26,0
16,Golden Gate Diner,Mexican,Expensive,West Village,07:00-15:00,2.86,1
17,Bella Amore Ristorante,Argentinian,Cheap,Harlem,07:00-17:00,2.52,0
18,Terra Nova Tavern,French,Expensive,Harlem,15:00-23:00,2.3,0
19,Emerald Isle Eatery,Mediterranean,Cheap,Upper West Side,09:00-17:00,3.53,0
20,Rustic Roots Cafe,Greek,Medium,East Village,07:00-17:00,3.04,1
21,The Spicy Spoon,Turkish,Medium,Tribeca,18:00-02:00,2.1,0
22,Mango Madness Tropical,Thai,Expensive,Williamsburg,08:00-20:00,3.35,1
23,Driftwood Tavern,Argentinian,Cheap,Prospect Heights,09:00-21:00,3.69,1
24,Oceanview Grill,Lebanese,Medium,Brooklyn Heights,11:00-19:00,1.05,1
25,Zen Garden Sushi Bar,Lebanese,Medium,Chelsea,09:00-21:00,3.21,0
26,Mountain View Cafe,Chinese,Expensive,Tribeca,18:00-02:00,3.35,1
27,Golden Harvest Diner,Thai,Expensive,Lower East Side,07:00-14:00,2.61,1
28,Oceanfront Oyster Bar,Japanese,Expensive,Upper West Side,16:00-00:00,4.66,0
29,Riverside Bistro,Spanish,Medium,West Village,17:00-01:00,3.72,1
30,Bella Vista Bistro,Greek,Cheap,Soho,12:00-00:00,1.93,1
31,Blue Ribbon BBQ,Vietnamese,Expensive,Lower East Side,11:00-23:00,4.88,1
32,Blueberry Hill Pancake House,Argentinian,Cheap,Bushwick,08:00-16:00,1.43,0
33,Green Garden Kitchen,American,Cheap,Harlem,13:00-21:00,3.4,1
34,Island Oasis Cafe,Thai,Cheap,Prospect Heights,10:00-22:00,2.81,1
35,Garden of Eatin',Mexican,Medium,Midtown,17:00-01:00,4.69,0
36,Rustic Roots Cafe,Vietnamese,Expensive,West Village,11:00-19:00,2.13,1
37,Sunrise Diner,Lebanese,Medium,Prospect Heights,08:00-16:00,3.26,1
38,Cafe Luna Rossa,Russian,Cheap,Financial District,11:00-23:00,4.28,1
39,Zen Fusion Sushi,Lebanese,Medium,Lower East Side,08:00-20:00,3.13,1
40,Bella Napoli Pizzeria,Brazilian,Medium,Astoria,15:00-23:00,3.53,1
41,Bamboo Grove Bistro,Turkish,Cheap,Midtown,07:00-14:00,1.13,1
42,Fireside Fare,American,Expensive,Chelsea,10:00-18:00,2.5,1
43,Zenith Zen Sushi,Lebanese,Cheap,Upper West Side,07:00-15:00,2.14,1
44,Cafe Luna Rossa,Greek,Medium,Chelsea,17:00-01:00,3.63,1
45,Golden Harvest Diner,Chinese,Expensive,Harlem,07:00-14:00,1.65,1
46,Spice Market Buffet,Moroccan,Expensive,Upper East Side,07:00-17:00,1.59,1
47,Riverside Cafe,Vietnamese,Medium,Tribeca,18:00-02:00,4.28,0
48,Bamboo Grove Bistro,Greek,Cheap,Upper West Side,09:00-17:00,1.3,0
49,Riverside Cafe,Mediterranean,Cheap,East Village,17:00-01:00,3.94,1
50,Wildflower Cafe,Brazilian,Cheap,Astoria,11:00-23:00,2.54,1
51,Green Garden Kitchen,Italian,Cheap,Financial District,09:00-21:00,1.16,1
52,Riverside Bistro,Mexican,Expensive,Prospect Heights,11:00-19:00,1.59,1
53,Coastal Catch Seafood,Korean,Medium,Lower East Side,10:00-18:00,2.41,0
54,Savory Spice Kitchen,Greek,Cheap,Soho,18:00-02:00,3.89,1
55,Fire & Ice Grill,Korean,Medium,Astoria,15:00-23:00,4.81,1
56,Sizzling Salsa Cantina,Turkish,Expensive,Brooklyn Heights,07:00-17:00,1.01,1
57,Coastal Catch Seafood,Turkish,Expensive,Financial District,12:00-20:00,3.25,1
58,Ocean Blue Grill,Brazilian,Cheap,Long Island City,18:00-02:00,3.32,0
59,Picante Peppers Mexican,Italian,Expensive,Lower East Side,10:00-22:00,4.75,1
60,Orchard View Bistro,Indian,Cheap,Tribeca,16:00-00:00,1.56,0
61,Riverside Bistro,Turkish,Medium,Soho,13:00-21:00,3.96,1
62,Mango Tango Bistro,Brazilian,Cheap,Chelsea,07:00-14:00,2.85,0
63,Blue Ribbon BBQ,Moroccan,Expensive,Midtown,15:00-23:00,1.15,0
64,Royal Oak Tavern,Argentinian,Medium,Upper West Side,18:00-02:00,1.96,0
65,Casa del Sol,Italian,Expensive,Upper East Side,08:00-20:00,3.96,1
66,Bamboo Garden Restaurant,Thai,Medium,Greenwich Village,11:00-23:00,2.86,0
67,Paradise Cove Cafe,Thai,Expensive,Park Slope,14:00-22:00,4.42,0
68,Harborview Cafe,Thai,Expensive,Upper West Side,12:00-20:00,1.08,1
69,Bella Luna Trattoria,Russian,Cheap,Tribeca,18:00-02:00,1.29,1
70,Island Oasis Cafe,Vietnamese,Medium,Long Island City,16:00-00:00,1.46,1
71,Blueberry Hill Pancake House,Argentinian,Expensive,Greenwich Village,12:00-00:00,1.61,1
72,Seaside Grill & Bar,Vietnamese,Expensive,Bushwick,12:00-00:00,1.44,0
73,Paradise Cove Cafe,Brazilian,Cheap,Park Slope,07:00-17:00,2.13,1
74,Pacific Pearl Oyster Bar,Vietnamese,Cheap,Soho,11:00-23:00,3.08,0
75,Redwood Smokehouse,Korean,Expensive,Chelsea,15:00-23:00,3.01,0
76,Zen Fusion Sushi,Italian,Cheap,Brooklyn Heights,07:00-17:00,2.78,0
77,The Spicy Spoon,Chinese,Expensive,Soho,08:00-16:00,1.09,1
78,Red Lantern Chinese,Spanish,Cheap,Financial District,12:00-20:00,2.56,1
79,Spice World,Turkish,Expensive,Financial District,11:00-19:00,4.33,1
80,Spice Market Buffet,French,Cheap,Midtown,07:00-15:00,3.07,1
81,Casa Verde Taqueria,Mediterranean,Cheap,Long Island City,17:00-01:00,4.62,0
82,Cafe Luna Rossa,Lebanese,Cheap,Financial District,14:00-22:00,2.79,0
83,Paradise Palms Tiki Bar,Japanese,Medium,Brooklyn Heights,07:00-14:00,3.06,1
84,Coastal Catch Seafood,Thai,Expensive,Long Island City,07:00-14:00,1.24,1
85,Bluebird Cafe,Lebanese,Cheap,East Village,08:00-20:00,3.13,0
86,Blue Ribbon BBQ,Japanese,Medium,Prospect Heights,08:00-20:00,1.51,1
87,Moonlight Cafe,Russian,Medium,Long Island City,13:00-21:00,3.96,0
88,Green Garden Kitchen,Mediterranean,Cheap,Tribeca,09:00-21:00,2.74,0
89,Fusion Flavors Kitchen,Moroccan,Cheap,Bushwick,13:00-21:00,4.64,1
90,Riverwalk Cafe,Lebanese,Cheap,Brooklyn Heights,09:00-21:00,4.24,1
91,Bella Napoli Pizzeria,Mediterranean,Cheap,Soho,06:00-14:00,3.63,0
92,Piccolo Pizzeria,Mediterranean,Expensive,Williamsburg,06:00-14:00,2.18,0
93,Bamboo Grove Bistro,Korean,Medium,Upper West Side,07:00-17:00,4.13,0
94,Terra Nova Tavern,Argentinian,Cheap,Long Island City,10:00-22:00,1.29,0
95,Green Garden Kitchen,Greek,Cheap,West Village,17:00-01:00,2.16,1
96,Bella Vita Ristorante,Indian,Cheap,West Village,07:00-15:00,4.72,1
97,La Piazza Trattoria,Mexican,Medium,Williamsburg,07:00-15:00,3.16,1
98,Moonlight Serenade Lounge,Ethiopian,Medium,Greenwich Village,09:00-17:00,1.82,0
99,Oceanfront Oyster Bar,Japanese,Cheap,Brooklyn Heights,17:00-01:00,3.06,0
100,Fireside Fare,Mexican,Expensive,Greenwich Village,09:00-21:00,2.35,1
101,Casa del Sol,Spanish,Cheap,West Village,08:00-16:00,1.49,1
102,Harvest Table Cafe,Vietnamese,Expensive,Soho,09:00-21:00,3.78,1
103,Riverside Cafe,Moroccan,Expensive,Chelsea,07:00-15:00,4.48,0
104,Blueberry Hill Pancake House,Chinese,Cheap,Long Island City,14:00-22:00,3.37,0
105,Spice Market Buffet,Vietnamese,Medium,Park Slope,10:00-22:00,3.7,0
106,Pasta Perfection,Russian,Expensive,Harlem,08:00-16:00,2.63,0
107,Spice Market Buffet,French,Medium,Soho,13:00-21:00,4.68,1
108,Riverside Bistro,Spanish,Medium,Lower East Side,10:00-22:00,4.82,1
109,Spice Route Indian Cuisine,Indian,Medium,Long Island City,07:00-14:00,2.8,1
110,Jasmine Thai Cuisine,Indian,Expensive,Bushwick,13:00-21:00,3.36,1
111,Zen Fusion Sushi,American,Medium,Brooklyn Heights,09:00-17:00,4.17,1
112,Driftwood Tavern,Moroccan,Expensive,Bushwick,09:00-17:00,3.51,0
113,Picante Peppers Mexican,Greek,Cheap,Upper West Side,12:00-20:00,3.0,1
114,Starlight Lounge,Brazilian,Medium,Upper West Side,06:00-14:00,2.77,0
115,Bella Vista Bistro,Chinese,Cheap,Astoria,18:00-02:00,1.07,1
116,Pepperwood Grill,American,Medium,Prospect Heights,16:00-00:00,1.55,1
117,Fireside Tavern,Italian,Expensive,West Village,09:00-17:00,1.64,0
118,Bella Napoli Pizzeria,Mediterranean,Expensive,West Village,11:00-19:00,4.84,0
119,Bella Amore Ristorante,Vietnamese,Medium,Greenwich Village,06:00-14:00,3.1,1
120,Paradise Palms Tiki Bar,Thai,Expensive,Financial District,18:00-02:00,2.0,0
121,Spice of Life Indian Cuisine,Vietnamese,Expensive,Greenwich Village,18:00-02:00,1.52,1
122,Harbor Lights Seafood,Moroccan,Medium,West Village,10:00-22:00,4.79,1
123,Sunset Grill & Bar,Argentinian,Expensive,Hell's Kitchen,08:00-20:00,4.51,0
124,Emerald Isle Eatery,Chinese,Expensive,Hell's Kitchen,09:00-17:00,2.6,1
125,Terra Nova Tavern,American,Expensive,Bushwick,07:00-15:00,2.78,0
126,Riverside Bistro,Korean,Cheap,Hell's Kitchen,07:00-15:00,3.54,1
127,Bella Amore Ristorante,Greek,Cheap,East Village,09:00-21:00,1.98,0
128,Ocean Blue Grill,Spanish,Cheap,West Village,07:00-14:00,2.28,0
129,La Piazza Trattoria,Lebanese,Expensive,East Village,12:00-20:00,1.66,1
130,Aztec Sun Mexican Grill,Argentinian,Cheap,Bushwick,09:00-17:00,3.77,1
131,Moonlight Cafe,Spanish,Cheap,Upper East Side,17:00-01:00,4.67,1
132,Mango Madness Tropical,Japanese,Medium,Chelsea,13:00-21:00,2.78,0
133,Peking Palace Chinese,Brazilian,Cheap,Lower East Side,09:00-17:00,3.19,0
134,Green Leaf Salad Bar,Turkish,Expensive,Williamsburg,08:00-16:00,4.57,0
135,Fire & Ice Grill,Italian,Cheap,Park Slope,07:00-14:00,1.49,1
136,Green Leaf Salad Bar,Italian,Cheap,Williamsburg,07:00-14:00,1.2,1
137,The Spicy Spoon,Japanese,Expensive,Brooklyn Heights,09:00-17:00,4.97,0
138,Bella Amore Ristorante,Vietnamese,Medium,Astoria,12:00-20:00,2.22,0
139,Fusion Flavors Kitchen,Korean,Cheap,Astoria,12:00-00:00,3.09,0
140,Fusion Flavors Kitchen,Argentinian,Expensive,Soho,12:00-20:00,1.89,1
141,Blue Horizon Seafood,Russian,Cheap,Midtown,07:00-14:00,4.36,1
142,Ocean Blue Grill,Russian,Expensive,Upper East Side,12:00-00:00,1.9,1
143,Bella Terra Bistro,Japanese,Cheap,Williamsburg,07:00-15:00,2.02,0
144,Tiki Hut Grill & Bar,Brazilian,Expensive,Tribeca,17:00-01:00,2.84,0
145,Pepper Pot Cafe,Thai,Expensive,Park Slope,10:00-22:00,1.08,0
146,Black Forest Bistro,Moroccan,Medium,Midtown,11:00-23:00,2.63,0
147,Harborview Cafe,Mexican,Medium,Williamsburg,10:00-18:00,1.35,1
148,Pepper Pot Cafe,American,Expensive,Brooklyn Heights,13:00-21:00,1.94,0
149,Terra Nova Tavern,Japanese,Cheap,Tribeca,09:00-21:00,2.44,0
150,Pepper Pot Cafe,Moroccan,Expensive,Williamsburg,10:00-18:00,1.31,0
151,Paradise Palms Tiki Bar,French,Cheap,Tribeca,07:00-15:00,3.0,1
152,Royal Oak Tavern,Lebanese,Expensive,Soho,15:00-23:00,2.5,0
153,Mango Madness Tropical,Vietnamese,Medium,Upper West Side,16:00-00:00,4.61,1
154,Pepperoni Palace Pizzeria,Vietnamese,Medium,Long Island City,11:00-23:00,3.58,1
155,Ocean Blue Grill,Vietnamese,Medium,Tribeca,15:00-23:00,1.81,1
156,Ocean Blue Grill,Moroccan,Expensive,Harlem,13:00-21:00,1.09,0
157,Harborview Cafe,Thai,Cheap,East Village,16:00-00:00,4.39,1
158,Starlight Lounge,French,Medium,Park Slope,18:00-02:00,2.07,0
159,Peking Palace Chinese,Mexican,Expensive,East Village,10:00-22:00,4.89,1
160,Rustic Roots Cafe,French,Cheap,Bushwick,18:00-02:00,4.5,0
161,Casa del Sol,Thai,Medium,Astoria,12:00-20:00,3.63,0
162,Rustic Roots Cafe,Mexican,Expensive,Long Island City,16:00-00:00,1.79,0
163,Bella Terra Bistro,Moroccan,Expensive,Harlem,08:00-20:00,1.87,1
164,Casa del Sol,Turkish,Medium,Harlem,08:00-20:00,2.16,1
165,Sunset Strip Steakhouse,Spanish,Expensive,Williamsburg,13:00-21:00,3.26,1
166,Oceanfront Oyster Bar,American,Cheap,Chelsea,06:00-14:00,3.5,1
167,Black Forest Bistro,Ethiopian,Expensive,Bushwick,07:00-17:00,2.36,0
168,Red Lantern Chinese,Ethiopian,Expensive,Hell's Kitchen,10:00-22:00,1.09,1
169,Casa del Sol,Chinese,Expensive,West Village,16:00-00:00,4.37,1
170,Picante Peppers Mexican,Ethiopian,Medium,Harlem,10:00-18:00,4.19,0
171,Black Forest Bistro,Ethiopian,Medium,West Village,06:00-14:00,3.7,1
172,Sunset Grill & Bar,American,Cheap,Brooklyn Heights,07:00-15:00,1.96,0
173,Paradise Cove Cafe,Chinese,Cheap,Financial District,12:00-00:00,3.12,1
174,Orchard View Bistro,Moroccan,Cheap,Soho,09:00-21:00,2.77,0
175,Bamboo Garden Restaurant,Korean,Cheap,Upper East Side,18:00-02:00,1.02,0
176,Ocean Blue Grill,Brazilian,Expensive,Upper West Side,07:00-15:00,4.88,1
177,Sunset Strip Steakhouse,Spanish,Expensive,Tribeca,08:00-20:00,1.03,1
178,Island Oasis Cafe,Argentinian,Expensive,Financial District,12:00-00:00,2.27,0
179,Mango Tango Bistro,Russian,Expensive,Midtown,08:00-16:00,2.09,1
180,Blueberry Hill Pancake House,Lebanese,Expensive,Tribeca,12:00-00:00,1.86,1
181,Zen Fusion Sushi,American,Medium,Tribeca,12:00-00:00,2.37,1
182,Island Oasis Cafe,American,Medium,Bushwick,14:00-22:00,4.26,0
183,Orchard View Bistro,Turkish,Expensive,Hell's Kitchen,17:00-01:00,3.21,1
184,Green Garden Kitchen,Mexican,Expensive,Hell's Kitchen,16:00-00:00,3.1,1
185,Ocean Blue Grill,Greek,Cheap,Hell's Kitchen,11:00-19:00,4.73,0
186,The Spicy Spoon,Mediterranean,Cheap,Midtown,06:00-14:00,1.11,0
187,Emerald Isle Eatery,Italian,Medium,Upper West Side,12:00-20:00,4.86,0
188,Oasis Mediterranean,Mexican,Medium,Tribeca,07:00-17:00,2.12,1
189,Morning Mist Cafe,American,Medium,Tribeca,14:00-22:00,2.41,0
190,Mountain View Cafe,Chinese,Expensive,Soho,17:00-01:00,3.41,1
191,Fireside Tavern,French,Expensive,Park Slope,14:00-22:00,1.71,1
192,Blue Horizon Seafood,Chinese,Medium,Bushwick,11:00-19:00,4.38,1
193,Coastal Catch Seafood,Argentinian,Medium,Midtown,10:00-22:00,3.14,1
194,Moonlight Cafe,Korean,Cheap,Midtown,10:00-22:00,2.6,0
195,Bluebird Cafe,Brazilian,Medium,Financial District,06:00-14:00,3.18,0
196,Island Oasis Cafe,Korean,Cheap,Astoria,14:00-22:00,2.1,0
197,Blue Horizon Seafood,Lebanese,Cheap,Williamsburg,10:00-22:00,1.85,1
198,Harvest Moon Cafe,Chinese,Cheap,East Village,18:00-02:00,4.66,0
199,Morning Mist Cafe,Russian,Medium,Tribeca,17:00-01:00,2.89,0
200,Bella Napoli Pizzeria,Mediterranean,Expensive,Chelsea,07:00-17:00,2.81,1
201,Bella Vita Ristorante,Vietnamese,Medium,Upper East Side,18:00-02:00,3.35,1
202,Lotus Blossom Chinese,Argentinian,Expensive,Prospect Heights,07:00-14:00,4.43,0
203,Morning Mist Cafe,Indian,Expensive,Lower East Side,07:00-17:00,3.06,1
204,Zenith Zen Sushi,Indian,Expensive,Soho,11:00-19:00,3.35,0
205,Terra Nova Tavern,Mexican,Expensive,Financial District,17:00-01:00,3.56,1
206,Sunset Grill & Bar,Ethiopian,Expensive,Chelsea,09:00-17:00,1.2,1
207,Casa Verde Taqueria,American,Expensive,West Village,11:00-23:00,3.31,0
208,Starlight Lounge,French,Cheap,Hell's Kitchen,09:00-21:00,1.9,1
209,Casa del Sol,Turkish,Expensive,Chelsea,17:00-01:00,4.2,1
210,Peking Palace Chinese,Russian,Medium,Upper West Side,17:00-01:00,1.49,0
211,Cafe Luna Rossa,Japanese,Medium,Upper East Side,10:00-18:00,1.97,0
212,Cafe Luna Rossa,French,Cheap,Williamsburg,08:00-20:00,4.06,0
213,Savory Spice Kitchen,Brazilian,Cheap,Bushwick,09:00-17:00,3.12,0
214,Mango Tango Bistro,Mediterranean,Medium,Astoria,09:00-17:00,4.47,0
215,Casa del Sol,Greek,Medium,Harlem,11:00-23:00,4.7,0
216,Peking Palace Chinese,Greek,Medium,Brooklyn Heights,10:00-18:00,1.01,0
217,Spice of Life Indian Cuisine,Turkish,Expensive,Upper East Side,13:00-21:00,3.24,1
218,Bella Amore Ristorante,Japanese,Cheap,Williamsburg,11:00-19:00,4.81,1
219,Mountain View Cafe,Vietnamese,Cheap,Park Slope,18:00-02:00,2.87,1
220,Riverside Bistro,French,Cheap,Greenwich Village,11:00-23:00,3.37,0
221,Zen Garden Sushi Bar,Turkish,Cheap,Upper West Side,07:00-15:00,3.95,0
222,Driftwood Tavern,Turkish,Medium,West Village,08:00-16:00,4.67,0
223,Green Leaf Salad Bar,French,Expensive,Chelsea,07:00-14:00,2.88,0
224,Wildflower Cafe,Russian,Cheap,Chelsea,08:00-16:00,4.89,0
225,Peking Palace Chinese,Spanish,Medium,Lower East Side,12:00-00:00,4.39,1
226,Bella Vita Ristorante,Russian,Cheap,Park Slope,12:00-20:00,1.58,0
227,Fusion Flavors Kitchen,Turkish,Medium,Astoria,12:00-20:00,4.96,0
228,Thai Orchid Garden,Mediterranean,Medium,Hell's Kitchen,11:00-19:00,3.94,1
229,Bamboo Grove Bistro,Argentinian,Expensive,Prospect Heights,09:00-17:00,4.4,0
230,Pepperoni Palace Pizzeria,Chinese,Medium,Brooklyn Heights,08:00-16:00,4.11,0
231,Bella Vista Bistro,Chinese,Medium,Astoria,11:00-19:00,3.36,0
232,Terra Nova Tavern,Turkish,Medium,Brooklyn Heights,14:00-22:00,4.7,1
233,Harborview Cafe,Lebanese,Medium,Long Island City,18:00-02:00,1.82,1
234,Tropical Taste Kitchen,Chinese,Medium,Upper West Side,13:00-21:00,1.01,1
235,Seaside Grill & Bar,Spanish,Expensive,Upper West Side,11:00-19:00,2.24,1
236,Casa del Sol,Lebanese,Expensive,Soho,12:00-20:00,4.08,1
237,Riverside Cafe,Moroccan,Medium,Prospect Heights,07:00-14:00,1.39,0
238,Moonlit Oasis Lounge,Russian,Cheap,West Village,18:00-02:00,3.35,1
239,Redwood Smokehouse,Chinese,Cheap,Chelsea,09:00-17:00,1.38,1
240,Ocean Blue Grill,Brazilian,Expensive,Hell's Kitchen,08:00-20:00,3.71,0
241,Moonlight Cafe,Russian,Expensive,Williamsburg,06:00-14:00,2.22,0
242,Black Forest Bistro,Moroccan,Medium,Prospect Heights,18:00-02:00,4.49,1
243,Terra Nova Tavern,Lebanese,Expensive,Financial District,13:00-21:00,4.29,1
244,Harvest Moon Cafe,Mediterranean,Cheap,Harlem,12:00-20:00,3.86,0
245,Tandoori Delights,Indian,Cheap,Upper East Side,16:00-00:00,4.38,0
246,Mango Madness Tropical,Lebanese,Expensive,Financial District,10:00-18:00,2.56,0
247,Terra Nova Tavern,Thai,Medium,West Village,11:00-23:00,2.29,0
248,Peking Palace Chinese,Argentinian,Expensive,Financial District,15:00-23:00,3.35,0
249,Pacific Pearl Oyster Bar,Mexican,Medium,Financial District,09:00-21:00,3.79,0
250,Zen Fusion Sushi,Japanese,Medium,Park Slope,18:00-02:00,4.67,1
251,Firefly Lounge,American,Medium,Hell's Kitchen,09:00-17:00,3.92,1
